METGROUP, METRIC_ACRONYM  , INST, END_DATE            , VALUE
BEGIN   , PRD             , 1   , 2020-11-06T11:22:16 , aupp-hroradb-f9exx1
COLLECT , USER            ,     ,                     , SYS
COLLECT , DAYS            ,     , 2020-10-29T11:22:16 , 8
DATABASE, DBID            ,     ,                     , 2109323688
DATABASE, NAME            ,     ,                     , PRD
DATABASE, CREATED         ,     ,                     , 2020-07-13T19:24:39
DATABASE, DB_UNIQUE_NAME  ,     ,                     , PRD_iad3vt
DATABASE, INST_NAME_MIN   ,     ,                     , PRD1
DATABASE, INST_NAME_MAX   ,     ,                     , PRD2
DATABASE, HOST_NAME_MIN   ,     ,                     , aupp-hroradb-bfcfz1
DATABASE, HOST_NAME_MAX   ,     ,                     , aupp-hroradb-f9exx2
DATABASE, VERSION         ,     ,                     , 12.1.0.2.0
DATABASE, PLATFORM        ,     ,                     , Linux x86 64-bit
DATABASE, DB_BLOCK_SIZE   ,     ,                     , 8192
DATABASE, MIN_INST_HOST   , 1   ,                     , aupp-hroradb-bfcfz1
INSTANCE, INSTANCE_NAME   , 1   , 2020-10-17T18:20:59 , PRD1
INSTANCE, INSTANCE_NAME   , 2   , 2020-10-17T18:20:53 , PRD2
INSTANCE, HOST_NAME       , 1   , 2020-10-17T18:20:59 , aupp-hroradb-f9exx1
INSTANCE, HOST_NAME       , 2   , 2020-10-17T18:20:53 , aupp-hroradb-f9exx2
CPU     , CPU             , 1   , 2020-10-29T11:30:57 , 1
CPU     , CPU             , 1   , 2020-10-29T11:31:07 , 1
CPU     , CPU             , 1   , 2020-10-29T11:31:27 , 1
CPU     , CPU             , 1   , 2020-10-29T11:31:57 , 1
CPU     , CPU             , 1   , 2020-10-29T11:33:08 , 1
CPU     , CPU             , 1   , 2020-10-29T11:33:38 , 1
CPU     , CPU             , 1   , 2020-10-29T11:33:48 , 1
CPU     , CPU             , 1   , 2020-10-29T11:35:28 , 1
CPU     , CPU             , 1   , 2020-10-29T11:35:48 , 1
CPU     , CPU             , 1   , 2020-10-29T11:35:58 , 1
CPU     , CPU             , 1   , 2020-10-29T11:36:18 , 1
CPU     , CPU             , 1   , 2020-10-29T11:36:28 , 1
CPU     , CPU             , 1   , 2020-10-29T11:37:29 , 1
CPU     , CPU             , 1   , 2020-10-29T11:40:59 , 1
CPU     , CPU             , 1   , 2020-10-29T11:41:09 , 1
CPU     , CPU             , 1   , 2020-10-29T11:42:10 , 1
CPU     , CPU             , 1   , 2020-10-29T11:42:30 , 1
CPU     , CPU             , 1   , 2020-10-29T11:44:01 , 1
CPU     , CPU             , 1   , 2020-10-29T11:44:41 , 1
CPU     , CPU             , 1   , 2020-10-29T11:45:11 , 1
CPU     , CPU             , 1   , 2020-10-29T11:45:31 , 1
CPU     , CPU             , 1   , 2020-10-29T11:46:42 , 1
CPU     , CPU             , 1   , 2020-10-29T11:46:52 , 1
CPU     , CPU             , 1   , 2020-10-29T11:47:02 , 2
CPU     , CPU             , 1   , 2020-10-29T11:47:12 , 1
CPU     , CPU             , 1   , 2020-10-29T11:47:32 , 1
CPU     , CPU             , 1   , 2020-10-29T11:47:42 , 2
CPU     , CPU             , 1   , 2020-10-29T11:49:42 , 1
CPU     , CPU             , 1   , 2020-10-29T11:52:13 , 1
CPU     , CPU             , 1   , 2020-10-29T11:53:03 , 1
CPU     , CPU             , 1   , 2020-10-29T11:54:13 , 1
CPU     , CPU             , 1   , 2020-10-29T11:54:33 , 1
CPU     , CPU             , 1   , 2020-10-29T11:54:44 , 1
CPU     , CPU             , 1   , 2020-10-29T11:56:54 , 1
CPU     , CPU             , 1   , 2020-10-29T11:57:44 , 1
CPU     , CPU             , 1   , 2020-10-29T11:59:05 , 1
CPU     , CPU             , 1   , 2020-10-29T11:59:15 , 1
CPU     , CPU             , 1   , 2020-10-29T11:59:35 , 1
CPU     , CPU             , 1   , 2020-10-29T11:59:45 , 1
CPU     , CPU             , 1   , 2020-10-29T12:00:05 , 1
CPU     , CPU             , 1   , 2020-10-29T12:00:15 , 1
CPU     , CPU             , 1   , 2020-10-29T12:00:25 , 2
CPU     , CPU             , 1   , 2020-10-29T12:00:35 , 3
CPU     , CPU             , 1   , 2020-10-29T12:00:45 , 1
CPU     , CPU             , 1   , 2020-10-29T12:03:16 , 1
CPU     , CPU             , 1   , 2020-10-29T12:03:36 , 1
CPU     , CPU             , 1   , 2020-10-29T12:05:36 , 1
CPU     , CPU             , 1   , 2020-10-29T12:05:46 , 2
CPU     , CPU             , 1   , 2020-10-29T12:05:56 , 1
CPU     , CPU             , 1   , 2020-10-29T12:06:27 , 1
CPU     , CPU             , 1   , 2020-10-29T12:08:57 , 1
CPU     , CPU             , 1   , 2020-10-29T12:09:07 , 1
CPU     , CPU             , 1   , 2020-10-29T12:11:28 , 1
CPU     , CPU             , 1   , 2020-10-29T12:14:49 , 1
CPU     , CPU             , 1   , 2020-10-29T12:14:59 , 1
CPU     , CPU             , 1   , 2020-10-29T12:15:19 , 1
CPU     , CPU             , 1   , 2020-10-29T12:15:29 , 2
CPU     , CPU             , 1   , 2020-10-29T12:15:39 , 1
CPU     , CPU             , 1   , 2020-10-29T12:16:30 , 1
CPU     , CPU             , 1   , 2020-10-29T12:17:30 , 1
