collection_host,collection_key,category,data_element,source,instance_number,inst_id,value
aupp-hroradb-f9exx1, PRD1219183590, id, collector_version, v1601,                    0,                    0, 2016-01-05
aupp-hroradb-f9exx1, PRD1219183590, id, collection_date, sysdate,                    0,                    0, 2020-11-06/11:22:21
aupp-hroradb-f9exx1, PRD1219183590, id, awr_retention_days, dba_hist_snapshot,                    0,                    0,                                                                                8
aupp-hroradb-f9exx1, PRD1219183590, id, awr_retention_days, dba_hist_snapshot,                    1,                    0,                                                                                8
aupp-hroradb-f9exx1, PRD1219183590, id, awr_retention_days, dba_hist_snapshot,                    2,                    0,                                                                                8
aupp-hroradb-f9exx1, PRD1219183590, id, collection_days, dba_hist_wr_control,                    0,                    0, 8
aupp-hroradb-f9exx1, PRD1219183590, id, user, user,                    0,                    0, SYS
aupp-hroradb-f9exx1, PRD1219183590, id, host, sys_context,                    0,                    0, aupp-hroradb-f9exx1
aupp-hroradb-f9exx1, PRD1219183590, id, server_host, sys_context,                    0,                    0, aupp-hroradb-f9exx1
aupp-hroradb-f9exx1, PRD1219183590, id, dbid, v$database,                    0,                    0, 2109323688
aupp-hroradb-f9exx1, PRD1219183590, id, db_name, sys_context,                    0,                    0, PRD
aupp-hroradb-f9exx1, PRD1219183590, id, db_unique_name, sys_context,                    0,                    0, PRD_iad3vt
aupp-hroradb-f9exx1, PRD1219183590, id, platform_name, v$database,                    0,                    0, Linux x86 64-bit
aupp-hroradb-f9exx1, PRD1219183590, id, host_name, gv$instance,                    1,                    1, aupp-hroradb-f9exx1
aupp-hroradb-f9exx1, PRD1219183590, id, host_name, gv$instance,                    2,                    2, aupp-hroradb-f9exx2
aupp-hroradb-f9exx1, PRD1219183590, id, version, gv$instance,                    1,                    1, 12.1.0.2.0
aupp-hroradb-f9exx1, PRD1219183590, id, version, gv$instance,                    2,                    2, 12.1.0.2.0
aupp-hroradb-f9exx1, PRD1219183590, id, instance_name, gv$instance,                    1,                    1, PRD1
aupp-hroradb-f9exx1, PRD1219183590, id, instance_name, gv$instance,                    2,                    2, PRD2
aupp-hroradb-f9exx1, PRD1219183590, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    1,                    0,                         22
aupp-hroradb-f9exx1, PRD1219183590, cpu, aas_on_cpu_and_resmgr_peak   , dba_hist_active_sess_history,                    2,                    0,                         13
